Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Password_login-password""), PASSWORD)",Chrome 114.0.0.0,,,2023-07-18 14:06:50,2023-07-18 14:06:56,"6,655s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/button_LOGIN""))",Chrome 114.0.0.0,,,2023-07-18 14:06:56,2023-07-18 14:07:00,"3,516s",PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-18 14:07:00,2023-07-18 14:07:01,"0,810s",PASSED
,,,,,,,
Test Cases/1-Login/Login_NegativeScenario2 (Empty Username),Chrome 114.0.0.0,,,2023-07-18 14:07:01,2023-07-18 14:07:33,"32,709s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-18 14:07:02,2023-07-18 14:07:03,"1,585s",PASSED
navigateToUrl(URL),Chrome 114.0.0.0,,,2023-07-18 14:07:03,2023-07-18 14:07:16,"12,442s",PASSED
"setText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Email_login-username""), """")",Chrome 114.0.0.0,,,2023-07-18 14:07:16,2023-07-18 14:07:22,"6,877s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Password_login-password""), PASSWORD)",Chrome 114.0.0.0,,,2023-07-18 14:07:22,2023-07-18 14:07:29,"6,659s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/button_LOGIN""))",Chrome 114.0.0.0,,,2023-07-18 14:07:29,2023-07-18 14:07:33,"3,528s",PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-18 14:07:33,2023-07-18 14:07:33,"0,795s",PASSED
,,,,,,,
Test Cases/1-Login/Login_NegativeScenario3 (Wrong Password),Chrome 114.0.0.0,,,2023-07-18 14:07:33,2023-07-18 14:08:01,"27,976s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-18 14:07:34,2023-07-18 14:07:36,"1,551s",PASSED
navigateToUrl(URL),Chrome 114.0.0.0,,,2023-07-18 14:07:36,2023-07-18 14:07:43,"7,456s",PASSED
"setText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Email_login-username""), USERNAME)",Chrome 114.0.0.0,,,2023-07-18 14:07:43,2023-07-18 14:07:50,"7,049s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Password_login-password""), ""2Uuy2fPQ37E="")",Chrome 114.0.0.0,,,2023-07-18 14:07:50,2023-07-18 14:07:57,"6,734s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/button_LOGIN""))",Chrome 114.0.0.0,,,2023-07-18 14:07:57,2023-07-18 14:08:01,"3,578s",PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-18 14:08:01,2023-07-18 14:08:01,"0,789s",PASSED
,,,,,,,
Test Cases/1-Login/Login_NegativeScenario4 (Empty Password),Chrome 114.0.0.0,,,2023-07-18 14:08:01,2023-07-18 14:08:30,"28,153s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-18 14:08:02,2023-07-18 14:08:04,"1,538s",PASSED
navigateToUrl(URL),Chrome 114.0.0.0,,,2023-07-18 14:08:04,2023-07-18 14:08:11,"7,530s",PASSED
"setText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Email_login-username""), USERNAME)",Chrome 114.0.0.0,,,2023-07-18 14:08:11,2023-07-18 14:08:18,"7,065s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Password_login-password""), """")",Chrome 114.0.0.0,,,2023-07-18 14:08:18,2023-07-18 14:08:25,"6,726s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/button_LOGIN""))",Chrome 114.0.0.0,,,2023-07-18 14:08:25,2023-07-18 14:08:29,"3,605s",PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-18 14:08:29,2023-07-18 14:08:30,"0,796s",PASSED
,,,,,,,
Test Cases/1-Login/Login_NegativeScenario5 (Empty Username and Password),Chrome 114.0.0.0,,,2023-07-18 14:08:30,2023-07-18 14:08:47,"17,734s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-18 14:08:30,2023-07-18 14:08:32,"1,525s",PASSED
"navigateToUrl(""https://app.qa.oneteg.com/en/login"")",Chrome 114.0.0.0,,,2023-07-18 14:08:32,2023-07-18 14:08:39,"7,534s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Email_login-username""))",Chrome 114.0.0.0,,,2023-07-18 14:08:39,2023-07-18 14:08:43,"3,559s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/button_LOGIN""))",Chrome 114.0.0.0,,,2023-07-18 14:08:43,2023-07-18 14:08:47,"3,514s",PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-18 14:08:47,2023-07-18 14:08:47,"0,780s",PASSED
